Meter ID          ,Date / Time           ,KWH(ch: 1  set:0)    ,KVARH(ch: 2  set:0)  ,KWH(ch: 3  set:0)    ,KVAH(ch: 3  set:0)   ,PF(ch: 4  set:0)     ,KW(ch: 1  set:0)    ,KVAR(ch: 2  set:0)  ,KW(ch: 3  set:0)    ,KVA(0(ch: 3  set:0) ,PF(0(ch: 4  set:0)  ,, PV 17.7 kW Rated Suniva Array
H202010637868     ,2018/12/04 9:45,48.21,20.01,0,52.2,0.92,192.86,80.03,0,208.8,0.92,,12/4/18 9:45,8
H202010637868     ,2018/12/04 10:00,48.7,20.4,0,52.8,0.92,194.81,81.59,0,211.21,0.92,,12/4/18 10:00,8.7
H202010637868     ,2018/12/04 10:15,53.68,21.47,0,57.82,0.93,214.72,85.89,0,231.26,0.93,,12/4/18 10:15,9.23
H202010637868     ,2018/12/04 10:30,59.63,22.94,0,63.89,0.93,238.53,91.74,0,255.57,0.93,,12/4/18 10:30,9.66
H202010637868     ,2018/12/04 10:45,57.49,22.25,0,61.64,0.93,229.95,89.01,0,246.57,0.93,,12/4/18 10:45,9.95
H202010637868     ,2018/12/04 11:00,54.07,21.37,0,58.14,0.93,216.28,85.5,0,232.57,0.93,,12/4/18 11:00,10.23
H202010637868     ,2018/12/04 11:15,46.95,20.11,0,51.07,0.92,187.78,80.42,0,204.28,0.92,,12/4/18 11:15,10.53
H202010637868     ,2018/12/04 11:30,46.36,19.91,0,50.45,0.92,185.44,79.64,0,201.82,0.92,,12/4/18 11:30,10.7
H202010637868     ,2018/12/04 11:45,45.38,19.52,0,49.4,0.92,181.54,78.08,0,197.62,0.92,,12/4/18 11:45,10.86
H202010637868     ,2018/12/04 12:00,45.29,19.52,0,49.31,0.92,181.15,78.08,0,197.26,0.92,,12/4/18 12:00,11.01
H202010637868     ,2018/12/04 12:15,45.77,19.62,0,49.8,0.92,183.1,78.47,0,199.2,0.92,,12/4/18 12:15,11.06
H202010637868     ,2018/12/04 12:30,45.19,19.62,0,49.26,0.92,180.76,78.47,0,197.05,0.92,,12/4/18 12:30,11.03
H202010637868     ,2018/12/04 12:45,45.77,19.72,0,49.84,0.92,183.1,78.86,0,199.36,0.92,,12/4/18 12:45,10.96
H202010637868     ,2018/12/04 13:00,45.29,20.01,0,49.51,0.91,181.15,80.03,0,198.04,0.91,,12/4/18 13:00,10.78
H202010637868     ,2018/12/04 13:15,45.38,20.01,0,49.6,0.92,181.54,80.03,0,198.39,0.92,,12/4/18 13:15,10.66
H202010637868     ,2018/12/04 13:30,45.68,20.2,0,49.95,0.91,182.71,80.81,0,199.78,0.91,,12/4/18 13:30,10.47
H202010637868     ,2018/12/04 13:45,44.99,19.72,0,49.12,0.92,179.97,78.86,0,196.49,0.92,,12/4/18 13:45,10.19
H202010637868     ,2018/12/04 14:00,46.65,20.4,0,50.92,0.92,186.61,81.59,0,203.67,0.92,,12/4/18 14:00,9.83
H202010637868     ,2018/12/04 14:15,48.41,21.28,0,52.88,0.92,193.64,85.11,0,211.52,0.92,,12/4/18 14:15,9.48
H202010637868     ,2018/12/04 14:30,48.21,20.79,0,52.51,0.92,192.86,83.16,0,210.02,0.92,,12/4/18 14:30,9.56
H202010637868     ,2018/12/04 14:45,47.92,21.08,0,52.35,0.92,191.69,84.33,0,209.41,0.92,,12/4/18 14:45,9.71
H202010637868     ,2018/12/04 15:00,48.02,20.98,0,52.4,0.92,192.08,83.94,0,209.62,0.92,,12/4/18 15:00,10.06
H202010637868     ,2018/12/04 15:15,48.8,21.28,0,53.24,0.92,195.2,85.11,0,212.95,0.92,,12/4/18 15:15,3.88
H202010637868     ,2018/12/04 15:30,47.63,21.08,0,52.09,0.91,190.52,84.33,0,208.34,0.91,,12/4/18 15:30,8.35
H202010637868     ,2018/12/04 15:45,48.9,20.69,0,53.1,0.92,195.59,82.76,0,212.38,0.92,,12/4/18 15:45,2.34
H202010637868     ,2018/12/04 16:00,49.09,21.37,0,53.54,0.92,196.37,85.5,0,214.18,0.92,,12/4/18 16:00,1.85
H202010637868     ,2018/12/04 16:15,49.19,21.18,0,53.56,0.92,196.76,84.72,0,214.22,0.92,,12/4/18 16:15,1.96
H202010637868     ,2018/12/04 16:30,47.92,20.4,0,52.08,0.92,191.69,81.59,0,208.33,0.92,,12/4/18 16:30,4.09
H202010637868     ,2018/12/04 16:45,49.19,20.89,0,53.44,0.92,196.76,83.55,0,213.76,0.92,,12/4/18 16:45,2.8
H202010637868     ,2018/12/04 17:00,49.58,21.37,0,53.99,0.92,198.32,85.5,0,215.97,0.92,,12/4/18 17:00,1.49
H202010637868     ,2018/12/04 17:15,49.97,21.37,0,54.35,0.92,199.88,85.5,0,217.4,0.92,,12/4/18 17:15,0.58
H202010637868     ,2018/12/04 17:30,48.51,20.69,0,52.74,0.92,194.03,82.76,0,210.94,0.92,,12/4/18 17:30,0.1
H202010637868     ,2018/12/04 17:45,48.41,20.5,0,52.57,0.92,193.64,81.98,0,210.28,0.92,,12/4/18 17:45,0.01
H202010637868     ,2018/12/04 18:00,48.7,20.5,0,52.84,0.92,194.81,81.98,0,211.36,0.92,,12/4/18 18:00,0.01
H202010637868     ,2018/12/04 18:15,48.9,20.5,0,53.02,0.92,195.59,81.98,0,212.08,0.92,,12/4/18 18:15,0.01
H202010637868     ,2018/12/04 18:30,49.09,20.5,0,53.2,0.92,196.37,81.98,0,212.8,0.92,,12/4/18 18:30,0.01
H202010637868     ,2018/12/04 18:45,48.51,20.2,0,52.55,0.92,194.03,80.81,0,210.19,0.92,,12/4/18 18:45,0.01
H202010637868     ,2018/12/04 19:00,48.12,20.5,0,52.3,0.92,192.47,81.98,0,209.2,0.92,,12/4/18 19:00,0.01
H202010637868     ,2018/12/04 19:15,48.02,20.59,0,52.25,0.92,192.08,82.37,0,209,0.92,,12/4/18 19:15,0.01
H202010637868     ,2018/12/04 19:30,48.02,20.79,0,52.33,0.92,192.08,83.16,0,209.3,0.92,,12/4/18 19:30,0.01
H202010637868     ,2018/12/04 19:45,47.53,20.79,0,51.88,0.92,190.12,83.16,0,207.51,0.92,,12/4/18 19:45,0.01
H202010637868     ,2018/12/04 20:00,47.04,20.59,0,51.35,0.92,188.17,82.37,0,205.41,0.92,,12/4/18 20:00,0.01
H202010637868     ,2018/12/04 20:15,46.56,20.2,0,50.75,0.92,186.22,80.81,0,203,0.92,,12/4/18 20:15,0.01
H202010637868     ,2018/12/04 20:30,46.56,19.81,0,50.6,0.92,186.22,79.25,0,202.38,0.92,,12/4/18 20:30,0.01
H202010637868     ,2018/12/04 20:45,46.85,20.2,0,51.02,0.92,187.39,80.81,0,204.07,0.92,,12/4/18 20:45,0.01
H202010637868     ,2018/12/04 21:00,45.97,20.2,0,50.21,0.92,183.88,80.81,0,200.85,0.92,,12/4/18 21:00,0.01
H202010637868     ,2018/12/04 21:15,45.38,19.13,0,49.25,0.92,181.54,76.52,0,197,0.92,,12/4/18 21:15,0.01
H202010637868     ,2018/12/04 21:30,45.09,19.13,0,48.98,0.92,180.36,76.52,0,195.92,0.92,,12/4/18 21:30,0.01
H202010637868     ,2018/12/04 21:45,44.9,19.03,0,48.76,0.92,179.58,76.13,0,195.05,0.92,,12/4/18 21:45,0.01
H202010637868     ,2018/12/04 22:00,45.09,19.13,0,48.98,0.92,180.36,76.52,0,195.92,0.92,,12/4/18 22:00,0.01
H202010637868     ,2018/12/04 22:15,44.7,18.93,0,48.55,0.92,178.8,75.74,0,194.18,0.92,,12/4/18 22:15,0.01
H202010637868     ,2018/12/04 22:30,44.7,18.84,0,48.51,0.92,178.8,75.35,0,194.03,0.92,,12/4/18 22:30,0.01
H202010637868     ,2018/12/04 22:45,44.41,18.93,0,48.28,0.92,177.63,75.74,0,193.1,0.92,,12/4/18 22:45,0.01
H202010637868     ,2018/12/04 23:00,44.31,19.13,0,48.26,0.92,177.24,76.52,0,193.05,0.92,,12/4/18 23:00,0.01
H202010637868     ,2018/12/04 23:15,44.21,17.96,0,47.72,0.93,176.85,71.83,0,190.88,0.93,,12/4/18 23:15,0.01
H202010637868     ,2018/12/04 23:30,43.72,17.67,0,47.16,0.93,174.9,70.66,0,188.63,0.93,,12/4/18 23:30,0.01
H202010637868     ,2018/12/04 23:45,43.24,17.47,0,46.63,0.93,172.95,69.88,0,186.53,0.93,,12/4/18 23:45,0.01
H202010637868     ,2018/12/05 0:00,42.75,17.57,0,46.22,0.92,171,70.27,0,184.87,0.92,,12/5/18 0:00,0.01
H202010637868     ,2018/12/05 0:15,42.75,17.47,0,46.18,0.93,171,69.88,0,184.72,0.93,,12/5/18 0:15,0.01
H202010637868     ,2018/12/05 0:30,42.26,17.37,0,45.69,0.92,169.04,69.49,0,182.77,0.92,,12/5/18 0:30,0.01
H202010637868     ,2018/12/05 0:45,42.16,17.47,0,45.64,0.92,168.65,69.88,0,182.56,0.92,,12/5/18 0:45,0.01
H202010637868     ,2018/12/05 1:00,42.16,17.67,0,45.71,0.92,168.65,70.66,0,182.86,0.92,,12/5/18 1:00,0.01
H202010637868     ,2018/12/05 1:15,42.16,17.37,0,45.6,0.92,168.65,69.49,0,182.41,0.92,,12/5/18 1:15,0.01
H202010637868     ,2018/12/05 1:30,41.97,17.37,0,45.42,0.92,167.87,69.49,0,181.69,0.92,,12/5/18 1:30,0.01
H202010637868     ,2018/12/05 1:45,41.68,17.18,0,45.08,0.92,166.7,68.71,0,180.31,0.92,,12/5/18 1:45,0.01
H202010637868     ,2018/12/05 2:00,41.97,17.37,0,45.42,0.92,167.87,69.49,0,181.69,0.92,,12/5/18 2:00,0.01
H202010637868     ,2018/12/05 2:15,41.48,17.08,0,44.86,0.92,165.92,68.32,0,179.44,0.92,,12/5/18 2:15,0.01
H202010637868     ,2018/12/05 2:30,41.38,17.08,0,44.77,0.92,165.53,68.32,0,179.07,0.92,,12/5/18 2:30,0.01
H202010637868     ,2018/12/05 2:45,41.38,17.18,0,44.81,0.92,165.53,68.71,0,179.22,0.92,,12/5/18 2:45,0.01
H202010637868     ,2018/12/05 3:00,41.48,17.28,0,44.93,0.92,165.92,69.1,0,179.73,0.92,,12/5/18 3:00,0.01
H202010637868     ,2018/12/05 3:15,41.09,16.98,0,44.46,0.92,164.36,67.93,0,177.84,0.92,,12/5/18 3:15,0.01
H202010637868     ,2018/12/05 3:30,41.19,17.08,0,44.59,0.92,164.75,68.32,0,178.35,0.92,,12/5/18 3:30,0.01
H202010637868     ,2018/12/05 3:45,40.99,16.98,0,44.37,0.92,163.97,67.93,0,177.48,0.92,,12/5/18 3:45,0.01
H202010637868     ,2018/12/05 4:00,41.09,17.18,0,44.54,0.92,164.36,68.71,0,178.14,0.92,,12/5/18 4:00,0.01
H202010637868     ,2018/12/05 4:15,41.09,17.08,0,44.5,0.92,164.36,68.32,0,177.99,0.92,,12/5/18 4:15,0.01
H202010637868     ,2018/12/05 4:30,40.99,16.98,0,44.37,0.92,163.97,67.93,0,177.48,0.92,,12/5/18 4:30,0.01
H202010637868     ,2018/12/05 4:45,41.38,17.18,0,44.81,0.92,165.53,68.71,0,179.22,0.92,,12/5/18 4:45,0.01
H202010637868     ,2018/12/05 5:00,41.48,17.18,0,44.9,0.92,165.92,68.71,0,179.58,0.92,,12/5/18 5:00,0.01
H202010637868     ,2018/12/05 5:15,42.07,17.08,0,45.4,0.93,168.26,68.32,0,181.6,0.93,,12/5/18 5:15,0.01
H202010637868     ,2018/12/05 5:30,42.85,18.35,0,46.61,0.92,171.39,73.4,0,186.44,0.92,,12/5/18 5:30,0.01
H202010637868     ,2018/12/05 5:45,43.14,18.54,0,46.96,0.92,172.56,74.18,0,187.82,0.92,,12/5/18 5:45,0.01
H202010637868     ,2018/12/05 6:00,41.77,18.25,0,45.59,0.92,167.09,73,0,182.34,0.92,,12/5/18 6:00,0.01
H202010637868     ,2018/12/05 6:15,41.38,18.15,0,45.19,0.92,165.53,72.61,0,180.76,0.92,,12/5/18 6:15,0.01
H202010637868     ,2018/12/05 6:30,42.36,18.35,0,46.16,0.92,169.43,73.4,0,184.65,0.92,,12/5/18 6:30,0.01
H202010637868     ,2018/12/05 6:45,42.36,18.06,0,46.05,0.92,169.43,72.22,0,184.18,0.92,,12/5/18 6:45,0.01
H202010637868     ,2018/12/05 7:00,43.72,18.25,0,47.38,0.92,174.9,73,0,189.52,0.92,,12/5/18 7:00,0.01
H202010637868     ,2018/12/05 7:15,44.12,18.35,0,47.78,0.92,176.46,73.4,0,191.12,0.92,,12/5/18 7:15,0.46
H202010637868     ,2018/12/05 7:30,45.97,19.13,0,49.79,0.92,183.88,76.52,0,199.16,0.92,,12/5/18 7:30,1.26
H202010637868     ,2018/12/05 7:45,42.94,18.64,0,46.82,0.92,171.78,74.57,0,187.26,0.92,,12/5/18 7:45,1.98
H202010637868     ,2018/12/05 8:00,43.14,17.86,0,46.69,0.92,172.56,71.44,0,186.76,0.92,,12/5/18 8:00,2.89
H202010637868     ,2018/12/05 8:15,45.19,18.06,0,48.66,0.93,180.76,72.22,0,194.65,0.93,,12/5/18 8:15,1.28
H202010637868     ,2018/12/05 8:30,46.07,18.35,0,49.59,0.93,184.27,73.4,0,198.35,0.93,,12/5/18 8:30,4.87
H202010637868     ,2018/12/05 8:45,45.48,18.84,0,49.23,0.92,181.93,75.35,0,196.91,0.92,,12/5/18 8:45,2.08
H202010637868     ,2018/12/05 9:00,46.95,19.23,0,50.73,0.93,187.78,76.91,0,202.92,0.93,,12/5/18 9:00,2.32
H202010637868     ,2018/12/05 9:15,48.02,18.93,0,51.62,0.93,192.08,75.74,0,206.47,0.93,,12/5/18 9:15,3.59
H202010637868     ,2018/12/05 9:30,46.46,18.93,0,50.17,0.93,185.83,75.74,0,200.67,0.93,,12/5/18 9:30,9.66
H202010637868     ,2018/12/05 9:45,46.26,19.52,0,50.21,0.92,185.05,78.08,0,200.85,0.92,,12/5/18 9:45,3.28
H202010637868     ,2018/12/05 10:00,47.04,19.72,0,51.01,0.92,188.17,78.86,0,204.03,0.92,,12/5/18 10:00,9.74
H202010637868     ,2018/12/05 10:15,44.9,19.23,0,48.84,0.92,179.58,76.91,0,195.36,0.92,,12/5/18 10:15,9.36
H202010637868     ,2018/12/05 10:30,44.31,18.93,0,48.19,0.92,177.24,75.74,0,192.75,0.92,,12/5/18 10:30,9.53
H202010637868     ,2018/12/05 10:45,45.87,19.23,0,49.74,0.92,183.49,76.91,0,198.95,0.92,,12/5/18 10:45,10.06
H202010637868     ,2018/12/05 11:00,46.65,19.72,0,50.65,0.92,186.61,78.86,0,202.59,0.92,,12/5/18 11:00,10.24
H202010637868     ,2018/12/05 11:15,45.38,19.42,0,49.37,0.92,181.54,77.69,0,197.46,0.92,,12/5/18 11:15,10.53
H202010637868     ,2018/12/05 11:30,44.9,19.52,0,48.96,0.92,179.58,78.08,0,195.82,0.92,,12/5/18 11:30,10.83
H202010637868     ,2018/12/05 11:45,44.9,19.52,0,48.96,0.92,179.58,78.08,0,195.82,0.92,,12/5/18 11:45,10.96
H202010637868     ,2018/12/05 12:00,47.63,20.4,0,51.81,0.92,190.52,81.59,0,207.25,0.92,,12/5/18 12:00,11.06
H202010637868     ,2018/12/05 12:15,48.7,20.98,0,53.03,0.92,194.81,83.94,0,212.12,0.92,,12/5/18 12:15,11.07
H202010637868     ,2018/12/05 12:30,48.12,21.08,0,52.53,0.92,192.47,84.33,0,210.13,0.92,,12/5/18 12:30,11.01
H202010637868     ,2018/12/05 12:45,47.53,20.89,0,51.92,0.92,190.12,83.55,0,207.67,0.92,,12/5/18 12:45,11.07
H202010637868     ,2018/12/05 13:00,46.07,20.3,0,50.34,0.92,184.27,81.2,0,201.37,0.92,,12/5/18 13:00,10.95
H202010637868     ,2018/12/05 13:15,45.68,20.4,0,50.02,0.91,182.71,81.59,0,200.1,0.91,,12/5/18 13:15,10.87
H202010637868     ,2018/12/05 13:30,45.38,20.3,0,49.72,0.91,181.54,81.2,0,198.87,0.91,,12/5/18 13:30,10.61
H202010637868     ,2018/12/05 13:45,44.9,19.52,0,48.96,0.92,179.58,78.08,0,195.82,0.92,,12/5/18 13:45,10.43
H202010637868     ,2018/12/05 14:00,44.8,19.91,0,49.02,0.91,179.19,79.64,0,196.09,0.91,,12/5/18 14:00,10.08
H202010637868     ,2018/12/05 14:15,46.56,20.2,0,50.75,0.92,186.22,80.81,0,203,0.92,,12/5/18 14:15,9.59
H202010637868     ,2018/12/05 14:30,47.73,20.69,0,52.02,0.92,190.91,82.76,0,208.07,0.92,,12/5/18 14:30,9.11
H202010637868     ,2018/12/05 14:45,48.6,21.08,0,52.98,0.92,194.42,84.33,0,211.92,0.92,,12/5/18 14:45,8.61
H202010637868     ,2018/12/05 15:00,49.97,21.67,0,54.47,0.92,199.88,86.67,0,217.87,0.92,,12/5/18 15:00,7.98
H202010637868     ,2018/12/05 15:15,49.58,21.18,0,53.91,0.92,198.32,84.72,0,215.66,0.92,,12/5/18 15:15,7.3
H202010637868     ,2018/12/05 15:30,49.09,20.79,0,53.31,0.92,196.37,83.16,0,213.25,0.92,,12/5/18 15:30,6.76
H202010637868     ,2018/12/05 15:45,48.51,20.79,0,52.77,0.92,194.03,83.16,0,211.1,0.92,,12/5/18 15:45,4.23
H202010637868     ,2018/12/05 16:00,48.02,20.69,0,52.29,0.92,192.08,82.76,0,209.15,0.92,,12/5/18 16:00,5.23
H202010637868     ,2018/12/05 16:15,52.9,21.57,0,57.13,0.93,211.6,86.28,0,228.51,0.93,,12/5/18 16:15,4.33
H202010637868     ,2018/12/05 16:30,55.83,22.45,0,60.17,0.93,223.31,89.79,0,240.69,0.93,,12/5/18 16:30,4.63
H202010637868     ,2018/12/05 16:45,55.63,22.64,0,60.06,0.93,222.53,90.57,0,240.25,0.93,,12/5/18 16:45,2.61
H202010637868     ,2018/12/05 17:00,55.83,22.74,0,60.28,0.93,223.31,90.96,0,241.12,0.93,,12/5/18 17:00,1.32
H202010637868     ,2018/12/05 17:15,55.73,22.74,0,60.19,0.93,222.92,90.96,0,240.76,0.93,,12/5/18 17:15,0.53
H202010637868     ,2018/12/05 17:30,54.46,21.86,0,58.69,0.93,217.84,87.45,0,234.74,0.93,,12/5/18 17:30,0.18
H202010637868     ,2018/12/05 17:45,54.95,22.16,0,59.25,0.93,219.8,88.62,0,236.99,0.93,,12/5/18 17:45,0.01
H202010637868     ,2018/12/05 18:00,55.14,21.96,0,59.36,0.93,220.58,87.84,0,237.42,0.93,,12/5/18 18:00,0.01
H202010637868     ,2018/12/05 18:15,55.14,21.86,0,59.32,0.93,220.58,87.45,0,237.28,0.93,,12/5/18 18:15,0.01
H202010637868     ,2018/12/05 18:30,55.05,21.86,0,59.23,0.93,220.19,87.45,0,236.92,0.93,,12/5/18 18:30,0.01
H202010637868     ,2018/12/05 18:45,54.27,21.57,0,58.4,0.93,217.06,86.28,0,233.58,0.93,,12/5/18 18:45,0.01
H202010637868     ,2018/12/05 19:00,54.36,21.86,0,58.59,0.93,217.45,87.45,0,234.38,0.93,,12/5/18 19:00,0.01
H202010637868     ,2018/12/05 19:15,53.78,21.76,0,58.01,0.93,215.11,87.06,0,232.06,0.93,,12/5/18 19:15,0.01
H202010637868     ,2018/12/05 19:30,53.88,21.96,0,58.18,0.93,215.5,87.84,0,232.72,0.93,,12/5/18 19:30,0.01
H202010637868     ,2018/12/05 19:45,53.58,22.06,0,57.94,0.92,214.33,88.23,0,231.78,0.92,,12/5/18 19:45,0.01
H202010637868     ,2018/12/05 20:00,53.39,21.76,0,57.65,0.93,213.55,87.06,0,230.61,0.93,,12/5/18 20:00,0.01
H202010637868     ,2018/12/05 20:15,53.19,20.98,0,57.18,0.93,212.77,83.94,0,228.73,0.93,,12/5/18 20:15,0.01
H202010637868     ,2018/12/05 20:30,53,20.5,0,56.82,0.93,211.99,81.98,0,227.29,0.93,,12/5/18 20:30,0.01
H202010637868     ,2018/12/05 20:45,52.51,20.5,0,56.37,0.93,210.04,81.98,0,225.47,0.93,,12/5/18 20:45,0.01
H202010637868     ,2018/12/05 21:00,52.12,20.3,0,55.93,0.93,208.47,81.2,0,223.73,0.93,,12/5/18 21:00,0.01
H202010637868     ,2018/12/05 21:15,52.31,20.5,0,56.19,0.93,209.25,81.98,0,224.74,0.93,,12/5/18 21:15,0.01
H202010637868     ,2018/12/05 21:30,51.63,20.3,0,55.48,0.93,206.52,81.2,0,221.91,0.93,,12/5/18 21:30,0.01
H202010637868     ,2018/12/05 21:45,52.02,20.5,0,55.91,0.93,208.08,81.98,0,223.65,0.93,,12/5/18 21:45,0.01
H202010637868     ,2018/12/05 22:00,51.53,20.3,0,55.39,0.93,206.13,81.2,0,221.55,0.93,,12/5/18 22:00,0.01
H202010637868     ,2018/12/05 22:15,51.63,20.2,0,55.44,0.93,206.52,80.81,0,221.77,0.93,,12/5/18 22:15,0.01
H202010637868     ,2018/12/05 22:30,51.63,20.2,0,55.44,0.93,206.52,80.81,0,221.77,0.93,,12/5/18 22:30,0.01
H202010637868     ,2018/12/05 22:45,51.53,20.4,0,55.42,0.93,206.13,81.59,0,221.69,0.93,,12/5/18 22:45,0.01
H202010637868     ,2018/12/05 23:00,51.24,20.01,0,55.01,0.93,204.96,80.03,0,220.03,0.93,,12/5/18 23:00,0.01
H202010637868     ,2018/12/05 23:15,51.04,18.93,0,54.44,0.94,204.18,75.74,0,217.77,0.94,,12/5/18 23:15,0.01
H202010637868     ,2018/12/05 23:30,50.85,18.84,0,54.23,0.94,203.4,75.35,0,216.91,0.94,,12/5/18 23:30,0.01
H202010637868     ,2018/12/05 23:45,50.56,18.84,0,53.95,0.94,202.23,75.35,0,215.81,0.94,,12/5/18 23:45,0.01
H202010637868     ,2018/12/06 0:00,49.97,18.35,0,53.23,0.94,199.88,73.4,0,212.93,0.94,,12/6/18 0:00,0.01
H202010637868     ,2018/12/06 0:15,49.39,18.54,0,52.75,0.94,197.54,74.18,0,211.01,0.94,,12/6/18 0:15,0.01
H202010637868     ,2018/12/06 0:30,49.39,18.64,0,52.79,0.94,197.54,74.57,0,211.15,0.94,,12/6/18 0:30,0.01
H202010637868     ,2018/12/06 0:45,49.29,19.13,0,52.87,0.93,197.15,76.52,0,211.48,0.93,,12/6/18 0:45,0.01
H202010637868     ,2018/12/06 1:00,48.7,18.84,0,52.22,0.93,194.81,75.35,0,208.87,0.93,,12/6/18 1:00,0.01
H202010637868     ,2018/12/06 1:15,49,18.84,0,52.49,0.93,195.98,75.35,0,209.97,0.93,,12/6/18 1:15,0.01
H202010637868     ,2018/12/06 1:30,48.7,18.84,0,52.22,0.93,194.81,75.35,0,208.87,0.93,,12/6/18 1:30,0.01
H202010637868     ,2018/12/06 1:45,48.8,18.93,0,52.34,0.93,195.2,75.74,0,209.38,0.93,,12/6/18 1:45,0.01
H202010637868     ,2018/12/06 2:00,48.6,18.93,0,52.16,0.93,194.42,75.74,0,208.65,0.93,,12/6/18 2:00,0.01
H202010637868     ,2018/12/06 2:15,48.51,18.74,0,52,0.93,194.03,74.96,0,208,0.93,,12/6/18 2:15,0.01
H202010637868     ,2018/12/06 2:30,48.31,18.74,0,51.82,0.93,193.25,74.96,0,207.28,0.93,,12/6/18 2:30,0.01
H202010637868     ,2018/12/06 2:45,48.21,18.74,0,51.73,0.93,192.86,74.96,0,206.91,0.93,,12/6/18 2:45,0.01
H202010637868     ,2018/12/06 3:00,48.41,18.93,0,51.98,0.93,193.64,75.74,0,207.92,0.93,,12/6/18 3:00,0.01
H202010637868     ,2018/12/06 3:15,48.31,18.84,0,51.85,0.93,193.25,75.35,0,207.42,0.93,,12/6/18 3:15,0.01
H202010637868     ,2018/12/06 3:30,48.51,18.93,0,52.07,0.93,194.03,75.74,0,208.29,0.93,,12/6/18 3:30,0.01
H202010637868     ,2018/12/06 3:45,48.6,18.84,0,52.13,0.93,194.42,75.35,0,208.51,0.93,,12/6/18 3:45,0.01
H202010637868     ,2018/12/06 4:00,48.6,18.93,0,52.16,0.93,194.42,75.74,0,208.65,0.93,,12/6/18 4:00,0.01
H202010637868     ,2018/12/06 4:15,48.41,18.84,0,51.95,0.93,193.64,75.35,0,207.78,0.93,,12/6/18 4:15,0.01
H202010637868     ,2018/12/06 4:30,48.6,18.84,0,52.13,0.93,194.42,75.35,0,208.51,0.93,,12/6/18 4:30,0.01
H202010637868     ,2018/12/06 4:45,48.51,18.74,0,52,0.93,194.03,74.96,0,208,0.93,,12/6/18 4:45,0.01
H202010637868     ,2018/12/06 5:00,48.31,18.54,0,51.75,0.93,193.25,74.18,0,206.99,0.93,,12/6/18 5:00,0.01
H202010637868     ,2018/12/06 5:15,48.51,18.45,0,51.9,0.93,194.03,73.79,0,207.58,0.93,,12/6/18 5:15,0.01
H202010637868     ,2018/12/06 5:30,49.58,19.62,0,53.32,0.93,198.32,78.47,0,213.28,0.93,,12/6/18 5:30,0.01
H202010637868     ,2018/12/06 5:45,49.78,19.81,0,53.57,0.93,199.1,79.25,0,214.3,0.93,,12/6/18 5:45,0.01
H202010637868     ,2018/12/06 6:00,49.48,20.3,0,53.49,0.93,197.93,81.2,0,213.94,0.93,,12/6/18 6:00,0.01
H202010637868     ,2018/12/06 6:15,49.97,21.18,0,54.27,0.92,199.88,84.72,0,217.1,0.92,,12/6/18 6:15,0.01
H202010637868     ,2018/12/06 6:30,49.87,20.89,0,54.07,0.92,199.49,83.55,0,216.28,0.92,,12/6/18 6:30,0.01
H202010637868     ,2018/12/06 6:45,50.36,20.79,0,54.48,0.92,201.45,83.16,0,217.93,0.92,,12/6/18 6:45,0.01
H202010637868     ,2018/12/06 7:00,49.87,20.98,0,54.11,0.92,199.49,83.94,0,216.43,0.92,,12/6/18 7:00,0.01
H202010637868     ,2018/12/06 7:15,50.46,20.98,0,54.65,0.92,201.84,83.94,0,218.59,0.92,,12/6/18 7:15,0.43
H202010637868     ,2018/12/06 7:30,49.87,21.18,0,54.18,0.92,199.49,84.72,0,216.74,0.92,,12/6/18 7:30,0.96
H202010637868     ,2018/12/06 7:45,49.58,20.89,0,53.8,0.92,198.32,83.55,0,215.2,0.92,,12/6/18 7:45,1.66
H202010637868     ,2018/12/06 8:00,49.87,20.98,0,54.11,0.92,199.49,83.94,0,216.43,0.92,,12/6/18 8:00,2.47
H202010637868     ,2018/12/06 8:15,49.68,20.89,0,53.89,0.92,198.71,83.55,0,215.56,0.92,,12/6/18 8:15,3.31
H202010637868     ,2018/12/06 8:30,49.39,20.79,0,53.58,0.92,197.54,83.16,0,214.33,0.92,,12/6/18 8:30,4.13
H202010637868     ,2018/12/06 8:45,49.09,20.69,0,53.28,0.92,196.37,82.76,0,213.1,0.92,,12/6/18 8:45,4.96
H202010637868     ,2018/12/06 9:00,52.8,21.47,0,57,0.93,211.21,85.89,0,228,0.93,,12/6/18 9:00,6.06
H202010637868     ,2018/12/06 9:15,57.49,21.67,0,61.43,0.94,229.95,86.67,0,245.74,0.94,,12/6/18 9:15,6.75
H202010637868     ,2018/12/06 9:30,58.85,22.45,0,62.99,0.93,235.41,89.79,0,251.95,0.93,,12/6/18 9:30,7.65
H202010637868     ,2018/12/06 9:45,58.95,22.06,0,62.94,0.94,235.8,88.23,0,251.77,0.94,,12/6/18 9:45,8.19
H202010637868     ,2018/12/06 10:00,58.36,22.45,0,62.53,0.93,233.46,89.79,0,250.13,0.93,,12/6/18 10:00,8.97
H202010637868     ,2018/12/06 10:15,58.85,22.64,0,63.06,0.93,235.41,90.57,0,252.23,0.93,,12/6/18 10:15,9.13
H202010637868     ,2018/12/06 10:30,51.83,21.28,0,56.02,0.93,207.3,85.11,0,224.09,0.93,,12/6/18 10:30,9.9
H202010637868     ,2018/12/06 10:45,49.97,20.89,0,54.16,0.92,199.88,83.55,0,216.64,0.92,,12/6/18 10:45,10.15
